,Name,Symbol,Sector,Market Cap Category,Market Capital,Close Price,Total Revenue,Promoters Holding,Return on Equity,Earnings Per Share,PE Ratio,PB Ratio,Dividend Yield,Debt to Equity,5 Year CAGR,Current Ratio,EBITDA,Net Profit Margin,Net Income,Revenue Growth
557,Healthcare Global Enterprises Ltd,HCG,Healthcare,Small Cap,3825.0,275.85,1560.36,71.38,6.72,4.06,71.2,4.33,0.0,103.5,-2.26,1.07,343.81,3.44,53.72,50.59
558,Share India Securities Ltd,SHAREINDIA,Finance,Small Cap,3406.13,1051.8,871.02,53.01,54.48,62.53,16.93,7.43,0.56,43.38,0.0,1.23,274.7,23.09,201.16,91.93
559,Safari Industries Ltd,SAFARI,Apparel and Accessories,Small Cap,4800.71,2079.65,713.66,47.23,7.71,9.99,214.6,15.95,0.04,18.48,0.0,2.45,53.92,3.13,22.37,115.41
560,HEG Ltd,HEG,Electrical Components and Equipments,Small Cap,3742.22,976.05,2321.62,55.13,11.64,111.68,8.68,0.96,4.13,16.98,-18.83,2.34,647.24,18.57,431.04,68.66
561,Schneider Electric Infrastructure Ltd,SCHNEIDER,Heavy Electrical Equipments,Small Cap,3887.83,162.3,1540.24,75.0,17.31,1.16,140.76,21.41,0.0,198.44,8.52,1.1,93.38,1.79,27.62,17.07
562,DCB Bank Ltd,DCBBANK,Private Banks,Small Cap,3490.2,113.05,3965.04,14.85,7.37,9.25,12.14,0.86,0.89,0.0,-6.98,0.12,453.27,7.25,287.52,1.56
563,Sansera Engineering Ltd,SANSERA,Automobiles,Small Cap,3900.38,742.85,2004.52,35.51,13.56,26.33,29.9,3.77,0.0,72.1,0.0,1.08,351.03,6.51,130.44,27.48
564,South Indian Bank Ltd,SOUTHBANK,Private Banks,Small Cap,3494.88,17.0,7620.44,0.0,0.77,0.21,77.98,0.6,0.0,0.0,-8.18,0.13,-8.13,0.59,44.82,-10.25
565,Nocil Ltd,NOCIL,Chemicals,Small Cap,3681.14,221.7,1575.19,33.84,12.9,10.58,20.9,2.55,1.36,0.38,1.43,3.25,290.05,11.18,176.11,67.68
566,PC Jeweller Ltd,PCJEWELLER,Diamond and Jewellery,Small Cap,1389.23,31.3,1658.94,54.53,-9.59,-8.4,-3.55,0.36,0.0,87.19,-37.69,2.02,-38.05,-23.57,-391.0,-41.8
567,Tega Industries Ltd,TEGA,Machines,Small Cap,4421.84,683.8,978.77,79.17,17.32,17.63,37.83,6.01,0.0,33.31,0.0,2.32,211.01,11.94,116.9,13.9
568,Nazara Technologies Ltd,NAZARA,Software and IT Services,Small Cap,3435.1,521.45,645.8,19.14,2.87,4.5,120.95,2.87,0.0,0.36,0.0,5.29,110.1,4.4,28.4,37.84
569,National Fertilizers Ltd,NFL,Chemicals,Small Cap,3019.51,62.95,15891.42,74.71,-4.54,-1.94,-31.78,1.48,0.0,154.97,0.8,1.03,413.32,-0.6,-95.01,33.11
570,Barbeque-Nation Hospitality Ltd,BARBEQUE,Hospitality,Small Cap,2796.91,717.4,887.32,33.78,-7.97,-7.03,-109.21,7.07,0.0,154.4,0.0,0.78,160.49,-2.89,-25.61,58.93
571,Indoco Remedies Ltd,INDOCO,Pharmaceuticals,Small Cap,3125.28,340.65,1543.08,58.69,18.5,16.8,20.19,3.45,0.66,28.37,5.7,1.82,329.67,10.03,154.8,23.98
572,LT Foods Ltd,DAAWAT,Packaged Foods and Meats,Small Cap,3244.83,102.65,5450.58,56.81,14.47,9.14,11.11,1.51,0.99,61.41,1.94,1.78,614.96,5.36,292.18,14.19
573,Tarsons Products Ltd,TARSONS,Healthcare,Small Cap,3168.17,605.2,309.26,47.31,27.42,31.76,31.47,6.47,0.0,4.42,0.0,7.0,161.17,32.55,100.66,32.0
574,JTEKT India Ltd,JTEKTINDIA,Automobiles,Small Cap,2646.5,110.75,1599.03,73.98,5.74,1.51,71.7,4.0,0.37,10.74,0.79,1.68,130.79,2.31,36.91,19.47
575,Sarda Energy and Minerals Ltd,SARDAEN,Metals and Mining,Small Cap,3912.67,1112.0,3964.34,72.64,29.64,223.07,4.87,1.26,0.69,50.86,18.08,2.61,1398.3,20.28,804.16,69.18
576,Fusion Micro Finance Ltd,FUSION,Finance,Small Cap,4050.86,401.05,1201.35,72.02,1.68,2.61,186.16,3.03,0.0,431.69,0.0,7.17,29.8,1.81,21.76,37.6
577,IFB Industries Ltd,IFBIND,Automobiles,Small Cap,4098.42,830.15,4333.67,74.96,-7.17,-11.05,-85.1,6.32,0.0,56.0,-10.17,1.17,76.54,-1.11,-48.16,22.85
578,Anant Raj Ltd,ANANTRAJ,Real Estate,Small Cap,3650.95,115.4,501.24,63.03,2.11,1.86,66.51,1.37,0.1,48.35,15.96,3.53,115.26,10.95,54.89,85.91
579,Reliance Infrastructure Ltd,RELINFRA,Power,Small Cap,4777.31,143.25,20549.16,4.53,-6.03,-35.63,-5.09,0.29,0.0,77.12,-20.17,0.42,2687.56,-4.57,-938.39,-16.17
580,Action Construction Equipment Ltd,ACE,Construction and Infrastructure Materials,Small Cap,4308.43,370.15,1644.6,66.76,16.44,9.03,41.02,5.71,0.17,1.24,14.69,1.4,166.47,6.39,105.03,32.37
581,Mahindra Logistics Ltd,MAHLOG,Logistics,Small Cap,2626.8,363.2,4095.22,58.1,6.38,5.17,70.86,4.45,0.55,67.63,-5.42,1.17,209.85,0.91,37.07,24.81
582,Techno Electric and Engineering Company Ltd,TECHNOE,Construction and Infrastructure,Small Cap,3413.14,338.25,1228.28,61.16,15.28,23.99,12.93,1.86,0.64,0.0,0.0,4.78,378.13,21.48,263.89,28.47
583,Nava Limited,NAVA,Metals and Mining,Small Cap,3554.24,251.15,3652.86,48.81,9.63,35.33,6.87,0.63,2.45,63.19,10.51,1.12,1529.78,14.17,517.69,29.35
584,Jupiter Wagons Ltd,JWL,Rail,Small Cap,3705.93,98.35,1181.74,74.62,7.55,1.28,74.63,5.43,0.0,20.38,43.17,1.59,117.18,4.2,49.66,18.46
585,Isgec Heavy Engineering Ltd,ISGEC,Construction and Infrastructure Materials,Small Cap,3332.36,455.15,5512.6,62.43,5.06,14.8,30.62,1.51,0.44,56.0,0.0,1.29,347.3,1.97,108.82,0.64
586,Ami Organics Ltd,AMIORG,Pharmaceuticals,Small Cap,3329.98,935.15,522.9,39.41,20.88,21.18,46.28,6.38,0.33,0.16,0.0,3.32,107.95,13.76,71.96,52.9
587,Tinplate Company of India Ltd,TINPLATE,Metals and Mining,Small Cap,3207.54,312.45,4289.54,74.96,34.99,33.68,9.09,2.74,1.31,1.01,6.26,1.99,540.19,8.23,352.92,86.02
588,Bannari Amman Sugars Ltd,BANARISUG,Sugar,Small Cap,3451.8,2750.25,2003.64,58.7,5.75,63.77,43.16,2.43,0.36,67.49,10.24,1.46,221.0,3.99,79.97,27.48
589,Jindal Poly Films Ltd,JINDALPOLY,Logistics,Small Cap,2549.03,578.35,6282.88,74.55,36.95,273.2,2.13,0.66,0.86,31.39,10.28,2.07,1821.09,19.04,1196.23,48.68
590,Harsha Engineers International Ltd,HARSHA,Machines,Small Cap,3145.12,352.9,1339.0,74.61,19.38,14.45,34.21,6.03,0.0,73.75,0.0,1.64,186.54,6.87,91.94,52.73
591,Paisalo Digital Ltd,PAISALO,Finance,Small Cap,2682.91,59.35,392.22,32.18,8.39,1.84,33.85,2.62,0.16,163.75,15.24,0.1,110.35,20.21,79.25,13.21
592,West Coast Paper Mills Ltd,WSTCSTPAPR,Paper Products,Small Cap,3169.69,488.55,3435.89,56.52,16.42,46.48,10.32,1.56,1.25,23.51,12.15,1.63,691.63,8.94,307.02,51.41
593,Astec Lifesciences Ltd,ASTEC,Chemicals,Small Cap,2745.09,1411.2,687.04,66.77,25.46,45.86,30.55,6.92,0.11,70.43,18.95,1.05,164.54,13.08,89.86,22.08
594,Dish TV India Ltd,DISHTV,Telecom,Small Cap,2734.27,15.55,2826.41,4.04,-104.55,-9.95,-1.49,3.12,0.0,43.13,-26.32,0.13,-985.71,-64.79,-1831.36,-13.43
595,Gateway Distriparks Ltd,GATEWAY,Logistics,Small Cap,3052.82,62.0,1407.61,32.12,14.14,4.48,13.64,1.83,2.05,36.19,0.0,0.99,403.23,15.9,223.78,18.22
596,Ujjivan Financial Services Ltd,UJJIVAN,Finance,Small Cap,3326.07,279.55,3092.18,0.0,-6.76,-15.75,-17.35,1.22,0.0,774.09,-5.38,3.73,-148.89,-6.2,-191.68,-2.79
597,Thomas Cook Ltd,THOMASCOOK,Hospitality,Small Cap,2908.7,61.45,1946.78,72.34,-12.84,-5.59,-12.69,1.76,0.0,36.14,-23.94,0.68,-131.96,-11.77,-229.19,105.85
598,Dhanuka Agritech Ltd,DHANUKA,Chemicals,Small Cap,3004.98,658.45,1511.37,70.18,23.78,44.85,14.38,3.13,2.17,3.31,1.15,3.14,297.32,13.82,208.9,6.35
599,Electronics Mart India Ltd,EMIL,Home Electronics and Appliances,Small Cap,2635.53,69.15,4353.08,77.97,19.09,3.46,25.37,4.42,0.0,191.68,0.0,1.46,295.7,2.39,103.9,35.72
600,Jindal SAW Ltd,JINDALSAW,Construction and Infrastructure,Small Cap,4658.75,147.7,13450.97,63.02,6.15,12.88,11.31,0.68,1.37,88.06,1.82,1.03,1554.59,3.06,411.75,23.71
601,Moil Ltd,MOIL,Metals and Mining,Small Cap,3063.47,155.5,1521.98,64.68,15.2,17.1,8.13,1.43,3.99,0.0,-7.06,3.81,627.13,24.77,376.97,18.92
602,Thyrocare Technologies Ltd,THYROCARE,Healthcare,Small Cap,2378.92,451.45,618.11,71.14,36.93,33.3,13.51,4.52,3.34,3.93,-6.28,4.19,263.96,28.5,176.14,21.9
603,Vesuvius India Ltd,VESUVIUS,Machines,Small Cap,3269.21,1619.25,1365.44,55.57,7.83,57.54,27.99,3.65,0.51,0.0,3.59,3.65,186.72,8.55,116.79,27.99
604,Greaves Cotton Ltd,GREAVESCOT,Machines,Small Cap,2940.85,127.85,1744.38,55.54,-4.61,-1.53,-83.31,3.92,0.16,34.35,0.76,1.53,47.24,-2.02,-35.3,14.98
605,TCNS Clothing Co Ltd,TCNSBRANDS,Textiles,Small Cap,2842.37,457.75,930.74,32.21,-0.93,-0.93,-496.05,4.59,0.0,66.68,0.0,2.66,124.33,-0.62,-5.73,35.97
606,Wockhardt Ltd,WOCKPHARMA,Pharmaceuticals,Small Cap,2712.46,189.75,3250.0,60.36,-6.13,-18.47,-11.12,0.65,0.0,52.31,-24.06,0.81,135.0,-7.51,-244.0,-15.03
607,Somany Home Innovation Ltd,HINDWAREAP,Home Furnishing,Small Cap,2654.0,367.3,2423.79,51.32,47.1,27.89,13.16,5.04,0.14,71.05,0.0,0.88,304.98,8.32,201.67,35.16
608,D B Realty Ltd,DBREALTY,Real Estate,Small Cap,2254.12,68.9,774.43,58.14,1.75,1.07,83.73,1.24,0.0,175.58,3.96,1.38,428.9,3.48,26.92,152.05
609,Ahluwalia Contracts Ltd,AHLUCONT,Construction and Infrastructure,Small Cap,3158.13,473.75,2721.61,55.32,16.22,23.17,20.35,3.05,0.06,5.21,4.76,1.77,285.7,5.7,155.21,35.77
610,Dilip Buildcon Ltd,DBL,Construction and Infrastructure,Small Cap,2881.17,199.3,9604.82,70.15,-14.99,-38.79,-5.25,0.81,0.05,247.43,-26.88,1.44,753.28,-5.71,-548.85,-6.23
611,Kewal Kiran Clothing Ltd,KKCL,Textiles,Small Cap,2463.47,398.1,624.63,74.25,17.92,13.25,30.18,5.15,4.75,17.13,5.15,2.37,116.88,13.07,81.63,95.11
612,Strides Pharma Science Ltd,STAR,Pharmaceuticals,Small Cap,2651.87,293.5,3258.1,30.89,-17.71,-51.29,-5.76,1.11,0.0,126.93,-16.2,0.99,-242.76,-14.13,-460.21,-7.41
613,Advanced Enzyme Technologies Ltd,ADVENZYMES,Chemicals,Small Cap,3041.61,272.6,535.8,49.87,11.01,10.7,25.44,2.67,0.37,3.05,2.48,10.0,209.0,22.32,119.58,4.92
614,Responsive Industries Ltd,RESPONIND,Construction and Infrastructure,Small Cap,3281.69,121.6,1127.15,58.94,0.01,0.0,54694.86,3.27,0.08,23.48,21.15,1.69,133.48,0.01,0.06,47.67
615,Mold-Tek Packaging Ltd,MOLDTKPAC,Plastic Products,Small Cap,3178.84,954.95,633.04,34.01,17.86,21.57,49.93,6.95,0.79,9.72,23.02,3.72,122.34,10.06,63.66,31.93
616,Neogen Chemicals Ltd,NEOGEN,Chemicals,Small Cap,3281.52,1290.1,488.5,60.19,14.34,18.49,73.53,7.47,0.21,52.08,0.0,2.26,87.84,9.14,44.63,44.99
617,Gravita India Ltd,GRAVITA,Metals and Mining,Small Cap,3036.8,471.95,2223.71,73.0,41.07,20.19,21.79,7.58,0.68,97.57,24.52,1.61,223.19,6.27,139.39,56.94
618,Rategain Travel Technologies Ltd,RATEGAIN,Software and IT Services,Small Cap,3729.26,347.85,383.11,55.79,1.95,1.46,442.91,6.02,0.0,2.91,0.0,4.08,47.66,2.2,8.42,45.07
619,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Sugar,Small Cap,2575.08,320.65,3082.22,74.91,13.14,36.54,8.71,1.09,1.26,34.7,25.99,2.08,510.02,9.59,295.73,12.51
620,Chennai Petroleum Corporation Ltd,CHENNPETRO,Oil and Gas,Small Cap,3501.65,237.95,43510.84,67.29,47.41,90.79,2.59,1.0,0.85,250.62,-7.95,0.77,2758.35,3.11,1352.03,92.3
621,Hemisphere Properties India Ltd,HEMIPROP,Real Estate,Small Cap,2670.45,94.6,3.16,51.12,-3.97,-0.52,-179.71,7.17,0.0,18.27,0.0,0.23,-12.79,-470.25,-14.86,754.05
622,Hathway Cable and Datacom Ltd,HATHWAY,Telecom,Small Cap,2681.71,15.2,1951.83,75.0,3.2,0.73,20.63,0.65,0.0,0.0,-16.16,2.33,524.26,6.66,129.99,0.14
623,Tata Steel Long Products Ltd,TATASTLLP,Metals and Mining,Small Cap,2810.63,635.75,6939.14,74.91,6.81,139.66,4.46,0.18,2.01,4.87,-9.61,4.89,1287.92,9.08,629.87,43.72
624,Sagar Cements Ltd,SAGCEM,Cement,Small Cap,2720.02,212.0,1610.29,45.2,5.42,5.89,39.34,2.08,0.3,115.18,1.92,0.96,289.19,4.29,69.15,16.76
625,India Tourism Development Corp Ltd,ITDC,Hospitality,Small Cap,2753.2,320.75,309.31,87.03,2.48,0.79,405.48,9.96,0.0,0.23,-5.4,1.87,17.42,2.2,6.79,55.67
626,Hindustan Construction Company Ltd,HCC,Construction and Infrastructure,Small Cap,2148.5,14.95,11152.0,18.59,-0.51,2.64,5.38,-2.74,0.0,-2.57,-15.18,1.03,1654.8,3.58,399.56,32.76
627,IFCI Ltd,IFCI,Finance,Small Cap,2437.48,11.3,1595.66,66.35,-36.34,-9.16,-1.33,0.48,163.93,140.37,-13.06,1.08,-1456.92,-114.77,-1831.34,-23.88
628,Kaveri Seed Company Ltd,KSCL,Agriculture,Small Cap,2986.26,540.15,1011.26,59.9,16.81,35.81,14.05,2.33,0.78,0.09,1.83,2.73,243.82,21.01,212.47,-6.54
629,Inox Wind Ltd,INOXWIND,Heavy Electrical Equipments,Small Cap,3051.15,108.35,706.17,72.24,-26.84,-19.26,-7.14,1.63,0.0,91.97,-4.35,0.93,-228.86,-60.52,-427.4,-10.27
630,Dodla Dairy Ltd,DODLA,FMCG,Small Cap,2907.71,487.75,2257.05,62.21,17.69,22.55,21.89,3.45,0.0,1.53,0.0,2.15,225.36,5.88,132.81,15.72
631,R Systems International Ltd,RSYSTEMS,Software and IT Services,Small Cap,2981.84,252.45,1526.12,51.67,31.89,11.81,21.35,6.48,0.0,0.23,44.95,3.28,210.03,9.15,139.67,27.44
632,Johnson Controls-Hitachi Air Conditioning India Ltd,JCHAC,Home Electronics and Appliances,Small Cap,3261.95,1239.25,2167.1,74.25,2.21,5.93,202.35,4.41,0.0,15.2,-11.7,1.41,103.84,0.74,16.12,30.43
633,Automotive Axles Ltd,AUTOAXLES,Automobiles,Small Cap,3449.99,2297.5,1494.88,71.04,12.65,49.2,46.4,5.56,0.66,3.78,8.98,1.9,138.93,4.97,74.35,63.8
634,Mirza International Ltd,MIRZAINT,Footwear,Small Cap,3678.93,267.8,1684.39,68.15,16.16,9.39,32.56,4.84,0.0,10.23,14.43,2.02,240.79,6.71,112.98,60.4
635,Ge TandD India Ltd,GETandD,Heavy Electrical Equipments,Small Cap,2647.52,105.3,3201.86,75.0,-4.5,-1.94,-53.36,2.45,0.0,20.91,-24.1,1.08,46.93,-1.55,-49.62,-9.08
636,Power Mech Projects Ltd,POWERMECH,Construction and Infrastructure,Small Cap,3210.98,2197.1,2727.8,64.17,14.22,94.55,23.1,3.07,0.07,50.7,18.82,1.53,301.04,5.1,138.99,43.54
637,Maithan Alloys Ltd,MAITHANALL,Metals and Mining,Small Cap,2732.56,914.75,3024.57,74.99,42.55,281.01,3.34,1.18,0.64,0.22,-0.13,6.07,1102.62,27.05,818.06,84.0
638,Vakrangee Ltd,VAKRANGEE,IT Services and Consulting,Small Cap,2436.85,23.0,782.6,42.6,4.05,1.03,22.25,0.89,0.22,0.0,-31.69,11.93,157.01,14.0,109.53,103.83
639,HBL Power Systems Ltd,HBLPOWER,Automobiles,Small Cap,2781.65,99.45,1271.08,59.02,11.4,3.39,29.63,3.21,0.4,7.23,11.76,3.46,164.95,7.39,93.89,37.51
640,Anand Rathi Wealth Ltd,ANANDRATHI,Finance,Small Cap,3225.0,784.05,425.63,48.74,41.65,30.58,25.45,9.08,1.42,11.05,0.0,2.06,183.32,29.77,126.72,52.42
641,Ganesh Housing Corp Ltd,GANESHHOUC,Real Estate,Small Cap,2621.69,325.45,383.97,73.06,9.63,10.65,37.12,2.99,0.0,16.18,17.28,2.58,135.48,18.39,70.62,114.95
642,India Pesticides Ltd,IPL,Chemicals,Small Cap,2483.5,216.45,729.3,67.2,30.75,13.92,15.72,3.89,0.35,3.66,0.0,4.12,226.93,21.66,157.95,11.28
643,Navneet Education Ltd,NAVNETEDUL,Publishing,Small Cap,2198.79,96.95,1208.34,63.31,13.55,5.77,16.76,2.19,1.54,13.44,-6.32,2.83,246.83,10.86,131.2,35.23
644,Meghmani Organics Ltd,MOL,Chemicals,Small Cap,2353.68,92.45,2600.81,49.37,23.07,11.97,7.73,1.61,1.51,34.06,0.0,1.39,480.85,11.7,304.41,55.94
645,Nilkamal Ltd,NILKAMAL,Plastic Products,Small Cap,2718.06,1836.6,2747.65,64.54,7.12,55.86,32.61,2.26,0.82,29.47,1.98,2.85,241.35,3.03,83.36,30.23
646,Voltamp Transformers Ltd,VOLTAMP,Heavy Electrical Equipments,Small Cap,2804.87,2778.05,1170.16,50.0,14.96,131.29,21.12,2.98,1.26,0.0,18.85,4.8,181.94,11.35,132.83,53.01
647,Butterfly Gandhimathi Appliances Ltd,BUTTERFLY,Home Electronics and Appliances,Small Cap,2330.78,1316.5,1007.24,82.78,7.02,9.02,144.59,9.92,0.23,22.68,20.81,1.25,53.96,1.6,16.12,15.61
648,Fineotex Chemical Ltd,FCL,Chemicals,Small Cap,2530.6,234.45,373.75,65.0,22.73,4.98,45.87,9.39,0.18,0.71,28.47,3.41,76.72,14.76,55.17,58.37
649,Sula Vineyards Ltd,SULA,Beverages,Small Cap,2976.43,361.2,427.2,27.33,14.9,6.77,57.09,7.53,0.63,60.7,0.0,1.28,116.07,12.21,52.14,9.68
650,Man Infraconstruction Ltd,MANINFRA,Construction and Infrastructure,Small Cap,2899.47,78.15,1163.96,67.12,26.44,5.83,13.4,3.12,1.61,59.94,16.54,3.54,449.98,18.59,216.35,156.81
651,Sudarshan Chemical Industries Ltd,SUDARSCHEM,Chemicals,Small Cap,2611.94,379.75,2205.81,35.82,16.49,18.78,20.09,3.13,1.33,98.73,-2.92,1.13,283.0,5.89,129.98,17.89
652,Tasty Bite Eatables Ltd,TASTYBITE,Packaged Foods and Meats,Small Cap,2335.89,9001.15,385.56,74.23,4.87,40.22,226.35,10.76,0.01,63.54,2.38,1.51,47.04,2.68,10.32,-4.63
653,Venky's Ltd,VENKEYS,Packaged Foods and Meats,Small Cap,2315.04,1637.9,4436.58,56.11,14.0,116.96,14.05,1.85,0.79,15.9,-16.81,1.99,280.64,3.71,164.77,40.74
654,Titagarh Wagons Ltd,TWL,Rail,Small Cap,2637.14,218.7,1966.63,47.82,-0.04,-0.03,-8241.06,3.13,0.0,109.2,11.6,1.19,155.63,-0.02,-0.32,27.25
655,Gabriel India Ltd,GABRIEL,Automobiles,Small Cap,2194.16,152.4,2358.16,55.0,12.24,6.23,24.51,2.86,1.01,1.68,-0.62,1.66,172.09,3.8,89.52,37.17
656,Jai Corp Ltd,JAICORPLTD,Textiles,Small Cap,2186.01,125.1,747.51,73.01,3.63,2.95,41.59,1.48,0.41,0.0,-4.27,13.8,82.29,7.03,52.56,28.18
657,Surya Roshni Ltd,SURYAROSNI,Metals and Mining,Small Cap,3729.43,687.35,7736.62,62.96,14.06,38.22,18.2,2.41,0.57,38.32,9.48,1.51,448.68,2.65,204.92,39.0
658,Indo Count Industries Ltd,ICIL,Textiles,Small Cap,2647.0,133.75,2982.23,58.74,24.87,18.16,7.38,1.66,1.49,82.85,6.12,1.51,574.31,12.02,358.43,16.63
659,Shanthi Gears Ltd,SHANTIGEAR,Automobiles,Small Cap,2718.43,347.7,346.12,70.47,17.09,5.54,64.01,10.46,0.71,0.0,19.49,2.99,69.34,12.27,42.47,54.65
660,Optiemus Infracom Ltd,OPTIEMUS,Technology Hardware,Small Cap,2224.99,255.7,507.54,74.89,-0.28,-0.11,-2392.46,6.75,0.0,13.11,2.81,1.69,16.08,-0.18,-0.93,30.99
661,Eveready Industries India Ltd,EVEREADY,Automobiles,Small Cap,2259.48,311.2,1211.46,43.21,17.37,6.39,48.62,7.79,0.0,136.35,-4.56,0.94,123.95,3.84,46.47,-3.33
662,Uniparts India Ltd,UNIPARTS,Machines,Small Cap,2437.08,559.2,1231.04,65.79,27.15,37.83,14.44,3.56,1.68,23.05,0.0,2.39,271.67,13.71,168.79,29.9
663,GRM Overseas Ltd,GRMOVER,Agriculture,Small Cap,1757.7,306.15,1171.36,72.0,49.06,14.08,20.97,8.51,3.16,163.81,0.0,1.37,129.76,7.16,83.83,45.36
664,Kirloskar Brothers Ltd,KIRLOSBROS,Machines,Small Cap,2963.94,372.85,3090.06,65.95,8.25,11.88,31.42,2.51,0.8,33.57,2.01,1.41,238.47,3.05,94.34,11.54
665,Shriram Pistons and Rings Ltd,SHRIPISTON,Automobiles,Small Cap,2462.16,1136.25,2093.88,46.75,13.61,73.68,15.05,1.96,0.89,12.49,-6.69,2.31,333.68,7.81,163.57,29.56
666,Tata Metaliks Ltd,TATAMETALI,Metals and Mining,Small Cap,2323.95,749.85,2793.01,60.03,16.81,75.2,9.79,1.52,1.09,9.73,-1.68,1.78,425.9,8.5,237.45,45.11
667,PSP Projects Ltd,PSPPROJECT,Construction and Infrastructure,Small Cap,2412.0,673.55,1769.78,67.54,27.26,46.29,14.47,3.51,0.75,14.51,6.11,1.45,280.15,9.42,166.66,40.74
668,Orient Cement Ltd,ORIENTCEM,Cement,Small Cap,2298.63,113.5,3082.46,37.9,18.59,12.85,8.73,1.51,2.23,20.69,-6.61,0.64,600.63,8.54,263.24,19.23
669,Newgen Software Technologies Ltd,NEWGEN,Software and IT Services,Small Cap,3255.42,462.7,808.87,55.16,22.23,23.65,19.82,4.01,0.96,3.43,13.64,3.13,224.57,20.3,164.21,17.63
670,Ashoka Buildcon Ltd,ASHOKA,Construction and Infrastructure,Small Cap,2099.81,76.1,6484.11,54.48,63.94,27.73,2.7,1.31,0.0,226.66,-12.72,1.39,2274.18,12.01,778.56,26.17
671,Camlin Fine Sciences Ltd,CAMLINFINE,Chemicals,Small Cap,2243.08,143.55,1445.12,17.55,8.21,4.27,36.96,2.93,0.0,84.39,3.62,1.5,190.74,4.2,60.69,21.23
672,Dhani Services Ltd,DHANI,Finance,Small Cap,1821.04,31.65,1465.42,32.89,-15.92,-14.2,-2.1,0.35,0.0,47.08,-34.21,3.07,-805.86,-59.12,-866.36,7.48
673,Welspun Enterprises Ltd,WELENT,Construction and Infrastructure,Small Cap,1859.79,125.15,1575.67,53.76,7.17,8.35,14.91,1.04,1.21,140.84,-5.58,1.06,323.25,7.91,124.7,-5.73
674,Steel Strips Wheels Ltd,SSWL,Automobiles,Small Cap,2353.96,151.35,3572.98,62.6,24.16,13.16,11.46,2.47,0.5,81.73,8.0,1.0,465.81,5.75,205.46,102.35
675,Choice International Ltd,CHOICEIN,Finance,Small Cap,2571.39,266.45,285.96,51.45,15.9,3.19,48.0,6.26,0.0,53.28,0.0,1.65,77.01,18.73,53.57,62.65
676,Astra Micro Wave Products Ltd,ASTRAMICRO,Telecom,Small Cap,2286.12,262.9,756.84,8.27,6.62,4.37,60.37,3.9,0.53,12.02,23.94,2.3,93.69,5.0,37.87,16.12
677,Emudhra Ltd,EMUDHRA,IT Services and Consulting,Small Cap,2027.93,259.5,183.74,61.03,30.66,5.9,48.96,13.2,0.43,43.71,0.0,1.33,68.81,22.54,41.42,38.72
678,Mrs. Bectors Food Specialities Ltd,BECTORFOOD,FMCG,Small Cap,3120.27,524.5,994.49,51.14,12.69,9.72,54.61,6.65,0.47,28.95,0.0,2.05,129.1,5.75,57.14,11.62
679,Siyaram Silk Mills Ltd,SIYSIL,Textiles,Small Cap,2180.4,477.15,1939.41,67.18,25.42,46.13,10.08,2.33,1.98,23.85,-6.16,2.12,367.53,11.15,216.23,71.62
680,Jaiprakash Associates Ltd,JPASSOCIAT,Insurance,Small Cap,2123.23,8.65,7474.25,38.15,-186.52,-6.03,-1.44,48.84,0.0,43931.26,-13.1,1.62,144.14,-19.77,-1478.02,13.03
681,Bajaj Consumer Care Ltd,BAJAJCON,FMCG,Small Cap,2312.96,160.8,918.6,38.04,21.66,11.5,13.63,2.86,5.1,0.0,-19.78,6.32,212.56,18.47,169.64,-4.18
682,Kiri Industries Ltd,KIRIINDUS,Chemicals,Small Cap,1579.91,335.25,1834.75,26.72,16.32,90.99,4.06,0.61,0.0,3.73,-8.16,1.24,459.13,21.19,388.77,54.18
683,Jayaswal Neco Industries Ltd,JAYNECOIND,Metals and Mining,Small Cap,2204.17,22.45,7689.33,48.03,954.67,27.92,0.98,1.2,0.0,209.72,17.21,2.46,3030.73,29.23,2247.29,107.18
684,Globus Spirits Ltd,GLOBUSSPR,Beverages,Small Cap,2453.56,833.35,1590.59,51.01,27.48,65.02,13.1,3.18,0.35,23.35,44.43,1.51,335.25,11.77,187.27,29.25
685,Apcotex Industries Ltd,APCOTEXIND,Chemicals,Small Cap,2325.51,441.3,964.78,58.23,28.17,19.06,23.54,5.87,1.11,12.69,15.91,1.84,147.7,10.24,98.81,76.75
686,Shilpa Medicare Ltd,SHILPAMED,Pharmaceuticals,Small Cap,2219.09,255.35,1168.76,50.01,3.7,7.21,36.58,1.23,0.43,37.71,-10.14,1.45,223.23,5.19,60.66,17.81
687,PG Electroplast Ltd,PGEL,Construction and Infrastructure,Small Cap,3202.26,1398.55,1117.01,61.33,14.83,18.29,85.58,10.25,0.0,127.64,35.23,1.11,93.66,3.35,37.42,58.11
688,PTC India Ltd,PTC,Trading,Small Cap,2875.72,95.6,16879.77,16.22,9.48,17.1,5.68,0.52,8.03,177.15,-0.99,1.4,1603.5,3.0,506.16,-8.13
689,Madhya Bharat Agro Products Ltd,MBAPL,Chemicals,Small Cap,2820.27,667.45,491.75,74.31,32.16,13.02,49.45,13.74,0.04,79.77,0.0,1.51,106.86,11.6,57.03,164.58
690,Dollar Industries Ltd,DOLLAR,Textiles,Small Cap,1932.6,340.2,1356.85,72.91,24.36,25.93,13.14,2.88,0.88,30.65,-5.91,2.2,225.25,10.84,147.09,30.41
